"","SampleID","glycocholate","palmitoylethanolamide","hexadecanamide","dihydrosphingosine","trans-9-octadecenoic acid isomer","stearamide","lysophosphatidylethanolamine(0:0/16:0)","hypoxanthine","acetyl-β-glucosaminylamine","phytenate","cis-10-nonadecenoic acid","Dl-ala-Dl-ala","hexadecan-1-ol","3,4-epoxy-6,9-octadecadiene isomer","heneicosanoic acid","3-methyluridine","nutriacholic acid","α-tocopherol","5-methyluridine","p-tolualdehyde","geranylgeraniol","4α-formyl-4β-methyl-5α-cholesta-8,24-dien-3β-ol","5β-cholestane-3α,7α,12α,26-tetraol","7α-hydroxycholest-4-en-3-one","glycocholic acid","(±)-abscisic acid","Indole-3-lactic acid","D-glucuronic acid","lignoceric acid","2-phenylbutyric acid","palmitic acid","chol-11-enic acid","10-oxooctadecanoic acid|10-keto stearic acid","1-linoleoyl-rac-glycerol","deoxycholic acid","5-formylsalicylic acid","4α-carboxy-4β-methyl-5α-cholesta-8,24-dien-3β-ol","1-palmitoyl-GPE (16:0)","palmitoyl sphingomyelin (d18:1/16:0)","10-undecenoic acid","4-cholesten-3-one","1-ethyladenine","10-oxooctadecanoic acid/10-keto stearic acid isomer","aldosterone","tricosanoic acid","9-oxoode","homovanillic acid","glycerol 1-hexadecanoate","trans-cinnamic acid","coenzyme Q10","butylparaben","24,25-epoxycholesterol","2-hydroxy cinnamic acid","nicotinic acid","carnitine","kynurenic acid","lysophosphatidylethanolamine(0:0/15:0)","4-ethylphenol","delta2-THA","7-ketocholesterol","palmitoylethanolamide isomer","4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoic acid","7-ketodeoxycholic acid","D-(+)-malic acid","docosahexaenoic acid","stearoyl ethanolamide","13-hydroxyoctadecanoic acid","Hexadecasphinganine/C16 sphinganine","4α-hydroxymethyl-4β-methyl-5α-cholesta-8,24-dien-3β-ol","mannose","xanthine","4α-hydroxymethyl-5α-cholesta-8,24-dien-3β-ol","(±)12,13-DiHOME","stearidonic acid","N-acetyl-L-glutamic acid","1-(1Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine","cholic acid","phytosphingosine","9-hydroxy-10E,12Z-octadecadienoic acid","erucic acid","γ-Tocopherol","γ-tocopherol/β-tocopherol","24S,25-epoxy-cholest-5-en-3β-ol","2-hexyldecanoic acid","glutamic acid","triamcinolone aceton","4α-carboxy-5α-cholesta-8,24-dien-3β-ol","oxoproline/pyroglutamic acid","3-(3-hydroxyphenyl)propanoic acid","12-ketodeoxycholic acid","Bis(2-ethylhexyl)-phthalate","glycidyl stearate","MG(0:0/18:3(9Z,12Z,15Z)/0:0) isomer","N-palmitoyl-sphinganine (d18:0/16:0)","5α-cholesta-8,24-dien-3-one","pentadecanoic acid","3,12 diketocholanic acid","cholesteryl laurate"
"HC_11","HC_11",46758.56512,111912.5413,19933.698,518973.9431,112355.1612,15973.2,37011.85461,3494.610051,43382.88,42205.70375,72269.89556,35592.63,357695.7974,15537.543,118558.656,5140.566813,63145.6908,252965.4382,11373.18028,15717.78938,70206.35571,294439.3943,600182.075,7119.282349,28948.131,84417.6275,12567.32691,154125.2904,3190341.618,612568.8643,45081.49121,28915.61804,79831.29324,42033.49875,61863.2165,3622.268465,179010.6,61165.3636,15003.41267,45011.23362,5198.389778,23151.46046,51308.02083,293646.2124,1005447.1,66124.36481,11193.46222,18988.41,2759.320871,1373229.65,23612.444,38925.03355,12440.53429,725687.0963,68438.3325,62392.30686,9026.8294,1263.2594,37195.90025,48048.264,8234.324237,19378.31088,22035.79623,387664.0383,10979.7542,7086.435222,60935.7945,65650.07487,268117.1083,104230.0087,12666.69056,60667.2625,27783.61857,76355.98579,6501.968842,11262.46374,38914.53125,22631.60067,195106.8462,245687.4843,71918.1,136935.702,69075.3475,65348.785,1111899.25,266576.0429,218443.116,615343.3,1164.82125,393725.44,815.4175835,535032,1267374.708,4015393.318,40195.75,44833.74107,559713.9111,4912.257324
"HC_12","HC_12",68643.96581,138308.9195,26630.76,450899.3246,145902.15,12219.864,36394.28615,6638.487667,56242.45455,36896.5175,75316.5798,43577.6,468964.641,13746.2094,113375.489,3829.925883,586731.9315,67041.8375,5771.461408,6958.228343,18450.1555,42079.28333,76008.94933,8465.248186,4973.815918,1649898.094,92080.339,52275.14156,4893934.311,47114.93,40392.47537,384825.4794,34163.22,747357.0561,121123.3474,10065.336,72904.55,78575.36,12532.72945,94799.54787,3302.881142,31717.38458,31770.96231,167878.0103,964640.435,324370.8,9542.801056,157642.3644,8207.655,921581.04,22534.01,20663.25136,9059.8125,456230.0384,149776.6129,69891.76,15042.7245,4646.406152,96714.76875,86717.26667,11148.93388,7255.788545,38391.16667,476417.2,11194.01182,4855.302,78834.42318,64808.19633,334423.635,32911.93163,17654.39044,79736.89286,20721.2565,128727.3267,98723.1564,9030.423519,143196.7137,30423.92712,140856.4741,434408.52,12557.96883,150343.3564,53990.7413,59014.39279,851167.9829,259129.6,478855.398,537188.0971,1306.5312,367968.259,35721.56133,333957.6,1072128.181,4047190.371,382180.68,118264.38,1217732.8,8160.740438
"HC_13","HC_13",61460.99161,87942.2415,33173.184,580383.9,5544.887695,17794.8425,418823.0616,82905.25,50197.52167,32167.8,205531.726,36686.034,942380.6523,35989.028,56204.282,6342.564286,1480014.592,69684.07463,2027.589076,5227.057831,44357.59556,57668.875,4642.971013,167834.7,7590.413333,2709.003235,6783.548571,553794.431,6262272.71,6882.48,46725.91393,3105643.74,8337.843262,4995819.96,7436.252836,5496.0672,24005.15818,68868.47,10062.82545,325.0677839,35280.11844,4791.127606,10125.34773,3343.83844,238406.332,146859.9,9019.500144,1980381.006,2074.645996,17389.41,21229.11682,9229.136091,3133.331741,526639.6475,148593.9155,27648.26286,69026.77869,28.24503581,27976.76678,11822.17111,22002.96992,62180.28267,6228.046951,217055.0063,66288.21429,17797.472,4117.491089,39296.22011,679462.46,398358.143,93038.80911,19622.51,145119.6553,3038.889788,221445.5414,41921.88216,217688.6695,152197.8235,295237.35,1151.118765,6916.302444,31415.56227,143863.7063,47141.064,539830.7486,509.4831805,6620.48,375096.1886,30829.4824,256267.3611,43854.242,116286.3,736561.826,1462810.539,43473.72863,45062.18523,439777.35,7349.042969
"HC_14","HC_14",35256.50556,81467.39625,29344.32075,375844.16,26448.20268,17311.44,79224.42667,35483.6755,41331.4225,34353.147,367681.408,32868.208,423396.496,67727.64,186461.9462,59053.01786,896619.3742,113208.2314,133049.5108,136643.76,88378.76286,41530.41429,101464.395,179524.5327,52652.22,63389.0506,10247.14286,463793.8421,4519925.674,50848.92,54618.98222,390565.994,37510.2,797993.819,15364.47143,25637.5398,115144.3964,126565.1296,152915.2009,98865.06971,68859.24,82575.82736,150962.4679,409755.7917,993468.372,118586.1176,188509.4269,180393.96,337344.7,803018.4787,21400.637,92925.48889,228449.1037,920664.8102,138273.723,69788.36222,3289.733276,169347.222,39827.47075,40150.89364,256115.7522,512431.5942,35514.11111,488469.8552,15540.6605,322762.41,37017.99933,65903.37287,561762.4485,161191.3515,71503.55713,32230.86482,11223.2715,90288.42857,145208.7,46376.558,29802.8375,269337.7428,157658.8729,261983.9354,217227.7709,138387.8767,121106.0267,26871.18778,749466.8007,313382.25,324787.494,494152.1626,114124.006,265108.3467,75371.40333,360186.75,1190267.505,2626946.487,116768.1589,32435.40013,461279,4944.057617
"HC_15","HC_15",68534.88704,100919.0363,13538.16038,418457.6,3350.845133,16258.2,26688.182,41927.002,58488.26455,32371.92857,621006.7644,45492.10636,1172198.595,94823.79111,90178.088,283.0438058,80596.59,108256.7157,1028.738334,22355.34,55014.62811,75846.31353,16013.11343,12724.74888,81679.45366,1420.873797,25333.695,64526.616,9887340.72,33525.72,62141.41875,418311.5886,28118.86304,614233.1917,14018.9159,4470.295656,59076.24545,163371.6475,14313.55396,63468.22663,265131.9172,82453.74638,51037.9275,6606.3842,335237.18,552263.04,121944.8667,260911.9227,93621.95625,66412.04625,31066.51875,38717.227,120216.7225,470475.459,147661.3366,13951.56571,2251.814896,50868.07771,200678.4866,21249.496,165414.5381,191211.2028,3994.81174,107939.2697,21270.77727,134949.7216,10682.7559,137926.0783,1691773.967,57250.06,41190.868,17614.88286,189776.6882,5625.835531,350239.3185,16756.7076,363968.3276,125342.1969,397656.2457,2648.956768,60627.05588,205788.102,119374.1688,24182.85714,1208685.797,652.9955183,5113.982029,591221.7146,24262.58233,457372.6444,2594.416667,287473.263,672137.9854,2677683.879,51586.60286,17850.14,324857.25,6243.06
"HC_16","HC_16",45725.93464,85353.90238,25703.8225,246684.3558,6503.494263,14865.85625,307573.4491,79285.26667,52231.62364,19760.59675,534997.0267,40883.50545,843710.954,78898.934,118575.7593,445892.9426,821343.996,97130.73433,1015763.389,156004.92,62637.45833,34170.96,48291.328,200962.35,30634.05306,17234.17712,40073.831,330523.3678,8843243.862,201180.4792,37213.33333,1915678.868,8967.240417,3576248.377,12330.0607,15549.2698,88594.95273,26945.68,16629.00974,23727.84544,19381.39,414396.2172,6646.47288,4531.008179,566826.9382,47039.26909,7686.5946,1851936.591,52288.6805,2380866.125,24381.23287,31652.1296,48735.87086,945871.3195,247729.4531,43917.19625,81099.82275,39261.55429,23743.12778,10750.97466,52550.8932,175442.54,5023.599625,192193.5484,54646.19478,53644.02189,10748.04255,78480.54633,424257.3025,347428.95,150824.6133,6627.408691,12047.14,2184.353333,108811.053,383472.1581,142573.6117,275112.1334,191824.6779,1201.935686,320999.021,101238.48,160069.8375,65181.85552,539340.894,430.367048,5850.008571,25395.59,95481.764,326473.9942,25776.58126,286683.3,944108.2491,3466760.071,118976.6783,20441.12459,72706.95,7062.635946
"HC_17","HC_17",40015.10769,95499.32125,15779.35543,562001.7962,93665.89636,14919.24111,419799.4913,34597.67063,36062.6,37648.6425,15658685.11,28077,548931.9544,2032596.075,266232.1736,12945.87886,774371.1922,219745.7931,26265.68933,73743.60338,38069.43079,64564.82333,42410.62267,13513.85125,42888.174,116104.8429,30298.37673,61920.56571,5636664.177,38196.60429,43673.81143,512155.821,17167.87019,1056725.484,34642.37813,17973.6048,90680.915,192435.8468,51316.30735,365201.1615,57717.2925,40361.12263,34262.61917,159174.4367,830962.8,101731.1616,66767.88667,267093.1011,224590.1678,585562.873,21063.9,253428.1377,81422.2465,1128388.393,146712.2703,53559.6773,9546.093529,103758.0075,35050.73975,50547.59556,1069510.417,43018.12089,25141.86778,320872.09,9000.552,306912.3406,323384.2754,67490.844,133061.8462,65683.92339,108466.6736,56067.9275,88158.23127,63195.13477,13925.41173,4862.967503,19329.90429,295317.6505,267046.2782,200794.23,517277.6406,490668.1319,82429.12778,53093.96619,583853.1699,263666.6747,369301.885,305753.841,46251.68625,465757.76,61673.87767,358627.92,937724.9351,1837348.1,116349.5704,51957.16,181283.2267,8967.282715
"HC_18","HC_18",40579.94714,82146.65,6864.643729,360455.5223,129477.4909,7232.010498,28706.4288,35298.37238,45740.61818,35472.04,2620981.287,32196.80455,1062359.214,333906.5432,255228.0615,28704.01598,727460.7302,774904.663,53199.46362,10954.25,58119.44622,67599.36,160461.1692,8743.742857,53178.35015,67097.2725,80141.4263,103412.7491,17131241.06,119947.63,50015.88273,332169.618,33709.13469,624943.0222,156515.589,18404.432,155006.04,295124.1381,39492.48589,20296.78567,52811.75678,122872.464,39164.68869,155046.529,1569658.728,42117.506,16028.63614,69626.5206,46184.61,367089.4933,20800.59662,116879.3978,74375.87143,734091.1334,378859.4717,13082.4484,3459.21936,20769.51803,15869.63,70536.81111,197065.4797,252076.4733,31135.597,287212.167,19386.83345,71096.08275,72625.65164,52156.141,337183.455,3879.516,80069.301,52164.65714,51575.9475,97352.92833,67035.6391,14268.77444,49128.06333,91883.59538,346647.0968,302489.2314,1080266.854,161191.8257,189377.505,34598.06583,480908.5083,283257,335378.989,15341.32286,8187.610429,423844.9867,97272.031,405745.056,895004.1,1565520.782,143744.5561,57395.22314,258375.2933,8688.775024
"HC_19","HC_19",41185.82264,125049.8198,16802.35003,341457.29,18689.19672,12861.51479,728467.4478,39759.209,36446.40818,44135.91,5710708.602,30216.68182,817506.1238,829527.9292,28767.81122,41070.11575,1049245.774,66619.72362,102941.1533,86400.56275,491035.0916,34357.52375,19164.75806,211241.25,28812.23647,32136.55714,34540.995,445574.6899,860412.214,16883.4375,14045.98386,5510191.812,9546.909119,9035933.556,3746.355545,49535.5245,18680.74545,12982.972,153606.7167,26582.62567,21266.2302,49746.154,14387.2846,7188.027054,111794.265,20113.67,22173.81939,4423717.086,1639.396205,1168392.745,19958.20125,43934.91627,31421.7225,378064.4469,323184.6644,8268.056802,113173.0188,1472.749268,53848.02504,13384.21111,166988.1101,806657.372,5104.766327,79299.5,170510.6445,172529.7823,13471.73836,33878.273,368575.0714,419887.246,39865.716,16759.10929,1884.300692,4030.338525,20499.6351,237567.1629,207407.1142,262817.9246,43502.082,400.3148193,5565.689575,171994.2744,108902.23,44863.56187,122251.4297,398.6284528,13837.87812,81190.2,34366.5288,368254.98,210449.6055,225610.3385,934534.8906,2568372.439,35524.0925,6436.02,14912.75106,10289.32617
"HC_20","HC_20",32978.25692,87047.0015,20885.89286,364814.3036,309238.9803,13795.38875,227306.4256,27281.916,57819.01273,28165.12571,49529.03767,43919.68727,411051.5009,6623.403305,285653.711,3406.791992,972482.8098,56994.21,12761.39,10405.86557,30976.4675,145959.5314,60992.82308,7361.802455,23786,104498.2725,27031.67071,117899.5623,12393085.51,86154.60857,59906.08,978317.806,86433.68877,1876950.004,104835.4995,23465.884,32199.88182,90615.1676,20354.175,106020.4185,4263.402039,19176.03514,26292.9379,140745.1265,1472850.918,49803.84686,6384.299636,382437.8601,21677.87488,780075.0844,30091.7925,19782.67639,7967.2635,414093.0409,106420.8267,74407.87811,48029.34438,15887.41577,63301.85925,73420.77176,34930.83964,17486.49089,30416.16667,260286.075,10923.20586,9181.375778,156442.704,64719.91625,599459.3636,1696.5672,59712.04133,103338.3129,21657.348,64724.53333,252074.7227,20341.32713,46662.13646,50803.49741,176336.3418,240560.7392,36370.78147,156240.0667,63938.83,122525.9603,512377.5571,315698.7667,339183.5167,264371.68,4853.791533,357087.6467,152569.7374,315440.5633,983232.131,3889277.955,77097.10286,37005.44,2348711.335,5710.045166
"HC_21","HC_21",38224.1272,90591.88862,5229.492344,341791.4538,215375.68,2713.288225,55247.99333,46446.44288,47231.41364,39647.54,451481.6706,34380.64091,882639.384,80738.61078,45866.428,155108.2061,953360.4391,53153.29238,297995.6143,113419.5185,20532.06571,69036.4325,54378.05143,122065.4007,10494.155,337366.9486,30845.79225,368077.791,2983660.495,50418.57714,71928.402,333473.63,74661.336,475383.3549,8308.772182,25387.22,108661.0008,56426.49891,24633.4162,121709.79,14376.26344,37798.86554,14266.8,181364.1696,697874.546,34140.47665,57773.17143,384585.7432,86758.08125,474038.9511,17048.625,31819.20408,56049.24,664807.35,237495.96,99532.98367,9486.1213,50058.41986,214296.9856,38148.258,102851.1952,230198.9841,13251.79083,230675.4975,8485.176,57678.33556,54993.84,48818.48414,153055.2533,511504.4623,88851.66413,74190.7425,22914.63813,55962.64,81274.7971,2854.662964,36830.28954,58095.93992,203874.408,198613.3914,402216.896,132762.4642,100960.8,55231.19476,333763.5629,266013.4615,397969.18,195089.2575,32126.20771,301134.6544,51492.02063,727074.5653,1678396.993,2303723.04,86781.2475,37693.41692,366711.5844,13031.97491
"HC_22","HC_22",40216.97714,90408.38125,21115.94375,487567.0817,163272.1354,14091.4375,298830.0323,99169.86256,38828.416,31628.22,306543.5793,29617.28,299903.484,46464.7455,52868.0892,4233.599435,68476.8906,165629.952,7621.718576,22717.95167,63955.59235,177694.6409,73712.8,21803.43937,14606.08364,88846.14375,70428.22656,438808.92,1493935.273,52690.73,53583.16524,126697.4533,122510.5538,211065.459,22993.33184,1739.048879,102533.6542,35849.1409,172577.9,27274.44453,301073.2621,24225.58447,25314.27507,13732.554,318546.97,30577.305,97798.15,36211.8127,168954.3607,171293.8667,20693.05875,79473.75175,96911.35114,460997.8865,160411.4996,63129.53767,61526.22,82883.7,14983.59025,58730.36889,455124.0011,83751.7714,5704.053223,104004.8179,19741.82955,142300.2712,290997.3238,57638.73375,364776.4556,186564.3772,110538.0838,162107.6914,11017.47359,54358.395,92015.7136,45634.722,21353.40492,65145.23017,89156.01167,186063.8311,114687.3827,182296.594,22638.015,122118.9867,136411.9103,247124.8464,87339.56778,75162.1494,146273.442,299306.82,2652.579248,354878.3318,1096500.925,3880618.56,112132.2474,24884.68631,64041.63889,8111.02
"HC_23","HC_23",73376.26971,149670.885,24704.78512,686727.92,37979.18517,16273.76,20203.271,14590.99044,71742.34182,49732.804,2741329.848,39917.72625,1066261.812,402804.1979,210157.684,33903.39274,529626.8664,37529.2375,49605.73614,53320.78571,87710.46364,50988.96,82455.76857,90756.75375,57241.92375,29721.51,88022.27625,1024217.843,8595933.266,60500.64,77135.81621,232286.887,35645.33999,397316.941,15067.35465,13109.24173,96091.3525,55885.6098,20766.87865,189494.5195,2754.58046,104567.7199,14276.26494,43433.09811,1158239.59,163580.922,126738.5389,183179.0012,98348.27438,1516975.154,22397.8105,36657.56692,186183.9403,1020926.958,103530.4123,92079.59598,1874.742121,35357.66037,98420.24625,29905.434,198998.6263,43586.97311,49376.32,398383.7113,14678.06667,83400.70122,48981.52,88884.61144,433393.9418,254642.3036,48697.27714,16074.31,7858.385529,122735.9212,64775.6304,1221.399,46061.33311,61645.805,303623.7936,385743.5573,12014.604,217286.4462,103550.0438,33670.85917,680848.41,387697.8677,338000.308,480193.57,13739.0176,500281.2825,42622.00222,410004.244,683119.56,2720365.382,87780.74812,49337.46,529696.2689,9225.64195
"HC_24","HC_24",32639.82455,77228.40438,19583.285,312700.2092,55512.77143,12656.16,5139.3584,5618.26625,62910.03636,24321.2,71907.23122,48492.14545,749910.3376,8564.422012,10454.396,1634.489014,127414.1343,13087.28,44722.8,4559.186015,48022.42828,41808.31875,67012.19643,22965.90947,24252.12,16934.395,52688.22183,300464.4606,1480601.307,27104.1,40821.734,81427.472,49075.1625,184389.2179,12394.74035,8169.09,40871.85833,72634.2071,15162.02441,9219.173333,12100.29133,383472.2395,6916.947343,92030.26311,134087.7273,76743.77483,96945.61525,62527.51938,13292.28125,15145.23857,26289.82286,14690.52215,80469.27,674159.1826,36533.89714,46146.28437,1521.487565,5853.846,54308.99108,30882.90667,6863.7,137322.5607,16725.10667,192121.1371,13103.808,13827.4632,43662.68727,140579.9248,318547.0453,317253.384,21327.95775,62294.24,27534.0885,59738.70333,69725.6954,519.7621002,31054.1716,33348.11831,49715.463,214360.7143,14938.07658,66822.12022,45749.01375,59540.68833,811617.8,184663.5,276196.11,432565.9229,2474.90288,232528.3617,8776.2375,196668.5,985420.8735,2019156.415,174807.6286,26694.14,96988.4,5711.15918
"HC_25","HC_25",35166.75692,127558.5872,23809.52,398606.0485,24011.294,16338.77778,23809.42,11491.8,47073.264,45361.44,714085.7909,34891.99636,745271.2868,119625.4764,108014.4653,1681.625571,340271.3695,89343.925,3833.057143,4204.489746,25625.42075,137934.4221,108137.0167,7365.060449,62828.376,385088.1771,18996.26667,38775.75888,3367182.705,55731.645,37239.10236,426713.5017,32834.70073,876685.464,105780.641,26500.029,49574.30707,79827.2216,9883.875556,47601.8175,14544.5625,35804.02025,40805.33003,117914.72,628799.409,13655.48895,3235.533162,369410.7644,8239.676667,662823.9887,28392.9,37273.50045,2019.898634,344317.3571,110778.2813,24157.73813,11972.3184,4884.880859,67663.701,50948.10143,42723.6584,10653.2535,41631.438,412941.0698,12573.57982,17528.31133,40798.52484,60601.17525,146094.15,8181.606,31691.055,101723.0657,35629.35489,117726.3257,184488.136,13139.9608,102480.0424,36471.875,115420.7964,436243.7571,70856.15111,229580.7606,62219.43,51603.77444,1133298.729,414747.025,408238.4057,639220.0766,2190.479811,357888.2412,180203.2085,400840.1746,1161761.722,6373107.12,113566.885,40441.38082,664352.3333,5708.780483
"HC_26","HC_26",43907.15672,94268.95911,19093.05475,435589.9308,71208.24943,17037.52082,128267.8744,10641.51,27467.40909,35932.425,41379.9405,22737.09091,397326.129,8222.514038,215673.2864,2375.43335,284788.4431,60491.45329,3577.149,21447.85388,42952.832,42359.79429,61325.55714,6088.416661,6743.805714,30407.81714,24456.94286,61996.7899,9570669.873,43218.925,40332.62,136711.1225,180007.5654,254731.8895,72380.408,4586.861182,15150.25239,117512.8383,17780.66184,95375.455,16555.97705,23531.51455,39574.08,70812.75667,1029762.342,62387.47667,118464.8614,99032.7823,3784.69594,473109.7867,17364.498,19950.11017,108186.3213,593026.0846,131184.6528,47125.28713,42885.75,2152.468872,19202.41812,33752.69333,23510.05465,14199.20407,29634.58167,428642.5576,9335.655,8525.7549,81974.33333,45461.504,167731.538,81377.50212,28652.58489,81094.92857,51975.27,77227.22917,222414.927,10765.16563,33023.7575,69585.86443,216154.2437,217715.2375,484094.09,149433.076,51283.56,41561.40564,1028544.531,289767.5857,315208.53,552950.4729,75987.27988,440720.3817,11473.13925,405181.8155,1075449.624,3621091.286,13577.34375,24576.94,626175.025,5699.413051
"HC_27","HC_27",37147.36667,95976.45671,12758.56457,488588.1846,3729.26,12537.675,160172.569,71442.10111,42558.87818,30353.7,1374019.582,34566.752,776529.4449,200407.65,26298.3416,1793.570313,1612778.825,32548.46,5190.642875,82873.5125,42092.18563,15160.99398,23690.10583,52856.44,17202.765,27277.065,77543.52,218932.2713,856628.685,27300.36571,49746.2225,2876021.107,23619.98047,5385676.301,7331.743,29865.75855,38230.36364,7502.6655,33763.76533,54026.08657,25952.26,160498.1175,4744.307251,23602.91267,158270,22376.25,60089.91559,470832.502,442789.0875,5593316.64,26584.583,33826.13041,63364.8,720365.2885,166327.3134,21882.57405,14388.1752,222672.404,77910.15637,16807.34,233327.3128,102043.287,28249.6675,125157.2349,69118.41067,53210.59411,43641.43792,57311.41289,294096.8422,307597.6867,54793.88444,17833.2,4824.105429,33991.16273,95751.279,31973.24018,179503.4567,191198.9112,113155.8967,111546.3085,107809.1625,77179.8,110947.44,50130.00491,249716.775,122347.0192,288962.03,130187.9863,528865.7856,303494.1482,233773.12,240547.0737,806804.068,2192404.044,198184.35,10702.10477,132643.9822,8171.32
"HC_28","HC_28",55940.43765,141161.5056,12123.342,596249.0077,61284.61829,13204.36523,13575.23756,42460.53,39515.4,48818,681133.6771,30544.367,1154037.644,123685.7191,38428.926,176370.5531,404968.74,204260.31,403054.8097,71144.67538,21305.52,278959.9771,1040306.432,121208.3712,32891.23889,86311.02857,25669.71508,52268.49,3032461.53,620432.9143,45430.25778,257556.526,45396.04,485934.6333,14465.9393,45345.6339,487494.0436,72377.1693,104599.6368,22745.169,26541.96989,45415.50567,5146.902262,167064.525,264219.3569,49357.83625,77702.20571,379587.8182,53592.29,858323.2656,20697.13187,78021.05608,74580.80175,667621.5549,64561.292,46446.58013,2281.669899,25112.615,87895.75111,28975.27111,57532.8952,108084.8969,44986.466,212887.5666,12543.82267,143745.2458,119701.071,43776.58667,334890.9831,259263.6086,118705.3014,38044.48,4951.195452,91648.60615,118243.4116,3729.833333,70504.69689,141904.593,33726.752,288650.455,256970.4133,123281.9118,91669.26,35255.94808,371579.988,302256.0253,460562.336,171423.5387,15665.73164,326069.16,217352.9297,568021.9733,1099643.85,5194135.854,187164.3004,30702.08,74220.2775,14973.16
"HC_29","HC_29",45640.47667,87239.02778,24345.36,346809.26,38731.23505,16481.96333,108651.8125,48304.15688,45098.20909,26574.0325,178567.776,37456.23636,771439.8051,28936.70667,51314.271,10004.21756,1361598.112,118968.1642,23806.34667,61549.22446,31440.16125,24576.82333,42790.40737,60496.70667,6324.402857,50685.63429,21748.94945,234091.377,4357068.296,46964.49571,60549.83102,739678.166,24391.69615,1337288.385,8177.470132,45711.79182,79059.73091,53616.64964,162677.4545,58620.35375,184455.7167,29039.3488,7768.732117,8413.601667,189833.1427,104766.0833,70944.65387,660545.9121,315208.4539,46548.465,27588.7875,48740.73575,63043.12775,464244.9425,89018.60917,27280.08375,37093.84467,150743.9432,90399.435,19650.626,76205.80931,85249.3215,22159.67,101731.02,22308.30263,79950.3,23256.1082,49443.26644,99293.6,369495.815,93580.47278,25149.6,81807.209,62863.28,2923.152568,14278.2076,77294.84968,309754.1696,229977.979,199465.5067,230199.0811,84827.234,44023.58,25242.26667,323613.9438,288474.5683,316443.908,162562.9531,310695.9535,322895.17,240898.0266,257162.2582,1061998.089,1745703.175,93036.195,20401.5,195971.3111,4625.68
"HC_30","HC_30",26688.33538,103855.0136,26161.4925,456664.2708,48277.13462,19895.11714,232726.5751,88924.171,44071.83,45230.88,914028.1935,34525.17,992948.4556,152426.6519,87830.36311,7201.6095,1239153.552,511140.0897,12178.11276,84573.991,60420.752,60075.62571,103242.516,47731.78222,74480.31273,38697.525,23160.7026,552125.1,4606191.382,88760.98857,44415.37793,1244016.122,552380.9164,2683195.575,80931.22371,37433.67477,95487.75667,24728.75,106581.6889,109539.885,44493.12267,156056.3948,313890.4031,81466.90567,594303.507,57365.75556,87650.71857,414953.0573,396951.4772,109964.6513,22927.4155,117911.2296,86937.16,1054070.318,82211.71935,23590.42084,35887.68036,194821.95,47446.03789,58710.82,308040.4168,98408.64,30367.6825,350509.5206,21864.03557,247123.4578,365170.1398,49030.15333,242349.8,340857.9816,277504.857,96752.45714,12481.34158,108905.3769,50505.681,368651.8723,67203.57393,155655.5,45393.744,410668.44,42040.635,150345.4403,159075.6686,35057.60076,598008.202,384631.2,402298.16,338609.56,250401.2926,330917.3946,198406.6913,295933.5,859524.2583,2467003.669,84768.98125,103280.5,461259.495,8337.48
"HC_31","HC_31",25665.07091,74086.02775,13828.8345,362068.4083,48588.18701,6397.977121,797072.4956,30473.541,51841.03636,29544.62,126821.3016,39645.207,329247.84,21131.06589,17458.4475,243554.3411,479398.2777,54350.55338,499612.6355,135717.6519,148476.34,34399.81714,87102.29308,405953.1,52349.40921,23944.41,29971.67725,631669.698,902707.925,135567.6065,21256.25618,3833484.408,134495.721,7402491.252,8863.613714,29579.02036,80311.96727,48159.747,61671.91333,11966.045,37617.18833,37835.88692,277672.8267,73026.098,134576.05,41444.13633,41984.79542,2817616.527,115299.1304,1161831.286,22793.14683,37477.08175,53024.5985,384622.1028,202662.3543,58054.27325,222774.8456,54444.05625,38209.095,24950.70667,295771.3692,238819.8249,29477.0824,119117.745,114978.7711,106138.9911,20684.42667,41883.8726,415966.32,118684.5313,60495.05438,32181.525,7664.354215,49482.06118,18965.346,720563.4165,195940.4335,243102.9435,46250.6495,169565.7431,10245.11696,157864.494,255928.75,55519.37037,265199.2,184646.1586,387822.641,141562.9243,59610.99022,244327.1793,373636.88,221137.4674,914526.873,1469217.522,126546.9564,35395.19714,21407.25,8971.3
